# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:25:55 CEST 2015 [seed=1436621147425]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-7677.259184346496	-10312.643201624054	-2635.3840172775576	1.0	-10312.643201624054
2000	-7667.304739563133	-10315.0115659019	-2647.706826338767	0.9670538286027488	-10062.403229797297
3000	-7659.261627158259	-10292.386449719135	-2633.124822560876	0.9348750848354606	-9793.577686027442
4000	-7611.43315233937	-10250.577295032235	-2639.144142692865	0.9034534504706005	-9515.71968720019
5000	-7562.163336478152	-10188.150264032196	-2625.986927554044	0.872778642317937	-9226.081577351926
6000	-7519.715389108435	-10119.389721792602	-2599.674332684167	0.8428404124649498	-8937.59435285935
7000	-7522.918977767386	-10119.916417926057	-2596.9974401586705	0.8136285485214058	-8717.859088683686
8000	-7507.133186284353	-10099.199253301775	-2592.066067017422	0.785132873868218	-8486.163120076328
9000	-7505.044538690803	-10081.481689625647	-2576.437150934844	0.7573432479107086	-8260.331957581462
10000	-7508.593419922264	-10087.59613154127	-2579.002711619006	0.7302495663364068	-8062.149800313637
11000	-7502.808693093695	-10077.233883333654	-2574.425190239959	0.7038417613775041	-7855.215276065475
12000	-7522.378456490339	-10108.320800708982	-2585.9423442186426	0.678109802078112	-7686.94091050596
13000	-7494.718951267372	-10095.57085514261	-2600.8519038752383	0.6530436945664579	-7495.230857548132
14000	-7517.680095910035	-10123.340069644124	-2605.65997373409	0.6286334823321714	-7331.525391485267
15000	-7518.3475008458845	-10127.013350036648	-2608.6658491907633	0.6048692465088115	-7156.283037018819
16000	-7530.714297587625	-10140.261885353873	-2609.547587766249	0.5817411061617966	-6990.4736534333315
17000	-7528.043677455102	-10147.227251670223	-2619.183574215122	0.5592392185819061	-6829.160837845571
18000	-7510.216188227914	-10123.710602503095	-2613.4944142751815	0.5373537795845235	-6649.137468516324
19000	-7516.196144147596	-10142.846351422133	-2626.650207274537	0.5160750238148092	-6505.571311362284
20000	-7521.963448236482	-10158.910337688792	-2636.94688945231	0.49539322505898753	-6363.276620850003
21000	-7511.407310224584	-10156.515319049144	-2645.1080088245594	0.4752986965619486	-6215.270112720196
22000	-7519.967346086696	-10162.735711162342	-2642.768365075646	0.4557817913513756	-6070.23255297889
23000	-7507.261515214676	-10137.484691653874	-2630.2231764391972	0.436832902568608	-5909.6420144720305
24000	-7523.865354277139	-10139.213926164319	-2615.34857188718	0.418442463806474	-5763.6533280790745
25000	-7550.864872103502	-10175.660307820825	-2624.7954357173226	0.40060094945432584	-5649.679072683302
26000	-7541.798034276926	-10149.10709625224	-2607.3090619753148	0.38329887505052945	-5498.0717643719545
27000	-7553.856173194563	-10160.307437955096	-2606.451264760534	0.36652679764266793	-5375.141977774835
28000	-7555.66999263401	-10153.083279484867	-2597.4132868508564	0.3502753161557333	-5243.977982289121
29000	-7316.380354850291	-9925.986111832855	-2609.6057569825643	0.33453507176859365	-5057.191584078735
30000	-7331.88785490242	-9935.867154368836	-2603.979299466416	0.3192967482990375	-4945.027250429964
31000	-7351.621947235859	-9965.25343516219	-2613.6314879263323	0.30455107259771197	-4852.575837289893
32000	-7330.578447469508	-9956.626914624318	-2626.0484671548097	0.2902888149512887	-4754.0333975781905
33000	-7334.09052005605	-9984.320981880064	-2650.230461824014	0.2765007894952082	-4678.112280848834
34000	-7367.091864238547	-10014.518833039778	-2647.426968801231	0.26317785463637045	-4586.282400540591
35000	-7355.1368006577795	-10003.425193994812	-2648.288393337032	0.2503109134861649	-4489.359404725389
36000	-7402.647261752378	-10051.709372235287	-2649.0621104829092	0.23789091430424544	-4410.084635853002
37000	-7379.415457812645	-10019.660885467125	-2640.24542765448	0.22590885095348726	-4307.320694437337
38000	-7371.116595823604	-10018.175016443041	-2647.058420619437	0.21435576336658174	-4227.099745381285
39000	-7404.990240551691	-10035.583374581322	-2630.5931340296306	0.20322273802475366	-4135.455525761125
40000	-7401.679732482679	-10033.355419536661	-2631.675687053982	0.19250090844911202	-4056.5057596062784
41000	-7393.008399321405	-10028.862434518831	-2635.8540351974257	0.1821814557051778	-3982.7230674264056
42000	-7407.320409082328	-10052.177740050189	-2644.8573309678604	0.17225560892116176	-3920.809818508486
43000	-7400.213188276411	-10048.835359421308	-2648.622171144897	0.1627146458206033	-3852.745239072251
44000	-7439.025507071163	-10078.303471865476	-2639.277964794314	0.15354989327001706	-3781.539537438026
45000	-7458.081296564829	-10107.64715927771	-2649.565862712881	0.14475272784223595	-3729.1434748598003
46000	-7491.293908521942	-10135.691976600356	-2644.398068078414	0.13631457639618247	-3665.5706238778844
47000	-7620.6516090804835	-10244.0785324414	-2623.426923360916	0.12822691667385014	-3600.5995822389214
48000	-7535.806442206373	-10167.626687967886	-2631.820245761514	0.12048127791532504	-3539.7438360410765
49000	-7520.755434152168	-10151.413878231999	-2630.658444079831	0.11306924149273806	-3481.0245564718043
50000	-7550.502547723467	-10153.329877457012	-2602.827329733545	0.10598244156409653	-3403.0480247772093
51000	-7577.885664840844	-10182.592115510484	-2604.7064506696406	0.09921256574801246	-3356.5279304235837
52000	-7531.456584807219	-10125.235294645783	-2593.7787098385643	0.09275135582041685	-3292.3315193820404
53000	-7596.7466920991355	-10201.054684376577	-2604.307992277441	0.08659060843442937	-3262.1149104685437
54000	-7680.108064701346	-10289.722582990336	-2609.6145182889904	0.08072217586463991	-3229.5695521472517
55000	-7789.390615241933	-10376.733276022003	-2587.3426607800707	0.07513796677715448	-3172.621634042398
