# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:09:45 CEST 2015 [seed=1436620162579]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-22494.46166450286	-23237.515309241586	-743.0536447387258	1.0	-23237.515309241586
2000	-21987.559592139667	-22727.86689867716	-740.3073065374901	0.9670538286027488	-22003.46099174725
3000	-21301.32481766795	-22033.880296427244	-732.5554787592921	0.9348750848354606	-20646.63332478432
4000	-20988.94055087201	-21718.69420321485	-729.7536523428419	0.9034534504706005	-19692.284414750466
5000	-20484.457915090185	-21243.366373530098	-758.9084584399131	0.872778642317937	-18637.305826191245
6000	-19915.131593139726	-20679.121361347927	-763.989768208202	0.8428404124649498	-17549.267494463842
7000	-19442.213177172765	-20193.774309208835	-751.5611320360708	0.8136285485214058	-16570.300819422897
8000	-19197.19423066265	-19942.271344629527	-745.0771139668758	0.785132873868218	-15817.425390493418
9000	-19095.71459648375	-19848.18174542276	-752.4671489390082	0.7573432479107086	-15214.47766261594
10000	-18951.233404209215	-19698.25655643917	-747.0231522299534	0.7302495663364068	-14586.15312719376
11000	-18858.430151552286	-19613.54213482287	-755.1119832705833	0.7038417613775041	-14028.462677953776
12000	-18728.148888507927	-19479.09178561078	-750.9428971028526	0.678109802078112	-13450.684233178377
13000	-18726.08955368407	-19455.952307348212	-729.862753664145	0.6530436945664579	-12958.817460584341
14000	-18682.090057692934	-19411.481060488237	-729.3910027953017	0.6286334823321714	-12473.57833300605
15000	-18716.278465260406	-19445.05264552518	-728.7741802647724	0.6048692465088115	-12049.67543299593
16000	-18700.280019719263	-19426.686480403805	-726.4064606845412	0.5817411061617966	-11605.12804489137
17000	-18712.208323769228	-19433.844522376996	-721.6361986077691	0.5592392185819061	-11186.23695953431
18000	-18723.39397418275	-19438.914423438873	-715.5204492561226	0.5373537795845235	-10776.606967933316
19000	-18725.826924056146	-19441.32027712618	-715.4933530700343	0.5160750238148092	-10379.424928854303
20000	-18721.323665780772	-19440.45041179933	-719.1267460185594	0.49539322505898753	-9993.543654182842
21000	-18704.745142115058	-19420.975750624704	-716.2306085096454	0.4752986965619486	-9606.571594080373
22000	-18721.92977403874	-19436.097177122272	-714.1674030835318	0.4557817913513756	-9247.282093049564
23000	-18731.890855178626	-19446.75666613413	-714.8658109555037	0.436832902568608	-8897.572063821548
24000	-18684.961417933333	-19397.288187051174	-712.326769117841	0.418442463806474	-8530.908060966773
25000	-18662.160126436516	-19368.518342080042	-706.3582156435276	0.40060094945432584	-8182.437281162657
26000	-18563.150572322662	-19272.658214270796	-709.5076419481347	0.38329887505052945	-7824.742373713002
27000	-18591.839527860247	-19302.293120854916	-710.4535929946679	0.36652679764266793	-7524.860997427656
28000	-18529.087650803478	-19231.944013531553	-702.856362728073	0.3502753161557333	-7193.138397690555
29000	-18513.65032935508	-19210.188258426544	-696.5379290714618	0.33453507176859365	-6890.003270700912
30000	-18390.07313759221	-19078.886516704933	-688.8133791127221	0.3192967482990375	-6560.703932927393
31000	-18395.574299534343	-19078.773490762276	-683.1991912279343	0.30455107259771197	-6285.591075202022
32000	-18372.587488933455	-19048.178460602583	-675.5909716691262	0.2902888149512887	-6008.947621420492
33000	-18375.430498802703	-19052.085188009994	-676.6546892072904	0.2765007894952082	-5757.4757294405645
34000	-18388.790152530888	-19057.500265621526	-668.7101130906375	0.26317785463637045	-5508.232454792132
35000	-18388.439312558283	-19061.211312978558	-672.7720004202764	0.2503109134861649	-5275.599042331646
36000	-18416.2542368485	-19099.552941998605	-683.298705150105	0.23789091430424544	-5064.358263613429
37000	-18541.263838540184	-19208.11106452258	-666.8472259823974	0.22590885095348726	-4855.482834972455
38000	-18540.09074524391	-19198.01323959083	-657.9224943469211	0.21435576336658174	-4632.097798929377
39000	-18534.083390826614	-19186.31205995599	-652.2286691293768	0.20322273802475366	-4418.775842592272
40000	-18614.536841815934	-19269.332572796717	-654.7957309807839	0.19250090844911202	-4238.110983389815
41000	-18675.153638401585	-19327.03274800575	-651.879109604164	0.1821814557051778	-4054.1457849660123
42000	-18687.859749552692	-19342.245639129298	-654.3858895766076	0.17225560892116176	-3873.474550169076
43000	-18668.9713503397	-19322.42797967362	-653.4566293339186	0.1627146458206033	-3691.1716904394334
44000	-18680.939423505177	-19331.481024818502	-650.5416013133253	0.15354989327001706	-3518.997855976199
45000	-18732.32972078523	-19369.566181447983	-637.2364606627541	0.14475272784223595	-3348.7922865866058
46000	-18745.167971098068	-19382.59914018834	-637.4311690902732	0.13631457639618247	-3192.670800545793
47000	-18675.85109718854	-19312.3073640329	-636.456266844358	0.12822691667385014	-3031.2030692967855
48000	-18776.754377390924	-19410.093856233227	-633.3394788423046	0.12048127791532504	-2895.586841332536
49000	-18798.16165983741	-19436.411628558606	-638.2499687211958	0.11306924149273806	-2763.7438490568816
50000	-18785.7049383591	-19413.943856213464	-628.2389178543646	0.10598244156409653	-2619.1937937243674
51000	-18961.186953822897	-19575.566971383814	-614.3800175609159	0.09921256574801246	-2495.5680248774265
52000	-18962.4845548329	-19570.539973196253	-608.0554183633536	0.09275135582041685	-2366.8515705478185
53000	-19090.187205690137	-19688.244092115656	-598.0568864255176	0.08659060843442937	-2251.0878116933854
54000	-19090.246036012366	-19688.555387233962	-598.3093512215947	0.08072217586463991	-2139.3155490398303
55000	-19214.848692878757	-19824.53309574277	-609.6844028640108	0.07513796677715448	-2053.4490655775853
56000	-19206.839786805307	-19805.613992520855	-598.7742057155484	0.06982994702686253	-1939.9868105815985
57000	-19379.84495382181	-19977.563327839373	-597.7183740175635	0.06479014048349967	-1853.3412511241208
58000	-19594.3840746735	-20181.772353370863	-587.3882786973622	0.06001062988820621	-1763.2596092899557
59000	-19814.671152086543	-20393.800988152954	-579.1298360664114	0.055483557742424465	-1678.5182870803574
60000	-19858.694314609274	-20421.088283188223	-562.3939685789467	0.051201127231133854	-1579.1815028254505
61000	-19822.230062943498	-20382.839671038946	-560.6096080954492	0.04715560318259695	-1495.3388231377567
62000	-20199.964928122565	-20755.020595508868	-555.0556673863044	0.043339313066983146	-1430.508271348288
63000	-20284.085708054085	-20841.87274632156	-557.787038267473	0.039744648036453514	-1363.9708854753396
64000	-20246.82674846886	-20807.41945956214	-560.5927110932843	0.03636406400953165	-1296.8496149645034
65000	-20778.380703488096	-21326.13323373298	-547.7525302448864	0.033190082802857665	-1237.388706302956
66000	-20758.64913954717	-21310.366156339634	-551.7170167924637	0.030215293313728214	-1178.9456893406532
67000	-20920.301095326973	-21463.39265694645	-543.0915616194759	0.027432352757170694	-1116.9846410527098
68000	-21132.53527975018	-21682.53456797866	-549.9992882284785	0.024833987961691194	-1074.804414965809
69000	-21512.460339185207	-22053.243562860236	-540.7832236750305	0.0224129967282808	-1022.941926874459
70000	-22674.741706592096	-23229.56698554206	-554.8252789499621	0.02016224925777198	-1011.99907309387
71000	-22541.155850052688	-23082.255032167897	-541.0991821152094	0.018074689652218572	-948.5235785072027
72000	-23533.17311655274	-24058.981961531823	-525.8088449790798	0.016143337496641163	-905.7128009664734
73000	-22781.55096614995	-23298.02470423722	-516.4737380872721	0.014361289528251987	-843.6461874147802
74000	-23408.51147268928	-23915.47389242978	-506.9624197405036	0.01272172140116927	-804.7589811121312
75000	-23952.10154304321	-24450.311520426087	-498.2099773828784	0.011217889555676173	-766.902007119078
76000	-25035.353330675585	-25537.40754105042	-502.0542103748344	0.009843133202303695	-748.4805279754116
77000	-26390.984098239325	-26873.07051501638	-482.0864167770562	0.008590876432461226	-708.8081000960793
78000	-26301.250364383264	-26780.11589464008	-478.86553025681394	0.007454630469050414	-674.9316325972687
79000	-27159.882914090187	-27646.33061645662	-486.4477023664344	0.006427996072542175	-661.0313230689114
80000	-28562.24564470791	-29038.458007746212	-476.2123630383013	0.0055046661204539325	-633.4379889628078
81000	-27897.374933419047	-28367.75022092613	-470.37528750708316	0.004678428381140585	-600.8911581549107
82000	-29161.724561684983	-29635.79497165392	-474.07040996893727	0.003943168506448259	-589.0600038542922
83000	-31474.154230946908	-31954.209948724478	-480.0557177775692	0.0032928732722604936	-583.6961190116588
84000	-32178.14318603935	-32639.01965614108	-460.87647010173066	0.002721634101543468	-548.4536019212039
85000	-34196.82095429059	-34640.872185187014	-444.0512308964228	0.002223650911514547	-520.0930229823308
86000	-36979.816304938424	-37417.841462932876	-438.0251579944497	0.0017932363354956555	-504.33870827242
87000	-39008.38591930184	-39453.14574581795	-444.75982651610803	0.001424820381547943	-500.3397698252171
88000	-48646.7930123729	-49067.019511576975	-420.2264992040719	0.0011129556050964646	-474.36822015715984
89000	-47744.741960481566	-48154.17862189928	-409.4366614177146	8.5232289288861E-4	-450.13059800569243
90000	-52885.040203372206	-53295.36051718557	-410.32031381336253	6.377379829750564E-4	-444.04711268221587
91000	-55687.81884538977	-56105.253189812	-417.4343444222308	4.6415888336127784E-4	-443.282340234332
92000	-50997.375156477865	-51409.493339439934	-412.1181829620708	3.2669440602401713E-4	-428.7787401476003
93000	-55344.61692078541	-55761.52726823368	-416.9103474482701	2.2061411225926482E-4	-429.12015097857824
94000	-56529.277327365286	-56942.927768448695	-413.6504410834102	1.4136008578343349E-4	-421.64142457568204
95000	-59751.14176012484	-60157.21057514758	-406.0688150227465	8.45611410492474E-5	-411.121439748978
