# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:08:09 CEST 2015 [seed=1436620085368]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-532.2517153027183	-918.7642350624176	-386.51251975969933	1.0	-918.7642350624176
2000	-529.7948549260981	-892.2066348877331	-362.41177996163503	0.9670538286027488	-874.751922791956
3000	-522.9262428338047	-875.6172458049243	-352.69100297111953	0.9348750848354606	-841.5617186030614
4000	-520.2231653366911	-874.772891955648	-354.5497266189569	0.9034534504706005	-824.5471403571282
5000	-528.5304547037399	-878.8884183845214	-350.3579636807815	0.872778642317937	-811.6480563607936
6000	-498.14461854629	-840.7588500815357	-342.61423153524566	0.8428404124649498	-762.4706472979958
7000	-507.58222425029624	-845.4556896213426	-337.87346537104634	0.8136285485214058	-750.8568537430816
8000	-519.5311005437478	-864.7030521464978	-345.17195160275	0.785132873868218	-753.0728976365808
9000	-515.9860784040778	-852.4858015960025	-336.49972319192466	0.7573432479107086	-727.2782956871786
10000	-509.35099397179107	-850.5371579279665	-341.18616395617545	0.7302495663364068	-713.1395064170937
11000	-506.4730816473459	-863.5902898119591	-357.1172081646132	0.7038417613775041	-713.5941140415736
12000	-512.8809458200526	-853.6214949443581	-340.74054912430546	0.678109802078112	-688.5301457839762
13000	-510.8374572305391	-873.3797916176461	-362.542334387107	0.6530436945664579	-696.1415147798732
14000	-510.06787919169847	-878.5089476334331	-368.4410684417346	0.6286334823321714	-689.0868155637974
15000	-522.1832655210403	-873.0152068146966	-350.8319412936563	0.6048692465088115	-666.6845396488786
16000	-517.5010748794446	-854.063669439505	-336.5625945600605	0.5817411061617966	-637.6142423003473
17000	-513.908871988386	-847.4829740959772	-333.57410210759116	0.5592392185819061	-620.972098100685
18000	-527.2114375217272	-852.1099203809656	-324.8984828592384	0.5373537795845235	-608.1975414517284
19000	-505.95732600722107	-846.2390422596536	-340.28171625243255	0.5160750238148092	-601.3936553208863
20000	-505.8966241884016	-827.3642418027341	-321.46761761433254	0.49539322505898753	-572.0853778174794
21000	-523.7207965735768	-829.131360181241	-305.41056360766424	0.4752986965619486	-554.3343755814708
22000	-508.29897226359014	-823.0117794599885	-314.71280719639833	0.4557817913513756	-546.3862233167606
23000	-524.9036314270079	-827.0430790560024	-302.13944762899445	0.436832902568608	-531.4346245140571
24000	-549.4284649948634	-832.7716324966832	-283.3431675018199	0.418442463806474	-513.2473680796795
25000	-529.2994355301148	-826.4136252114615	-297.11418968134666	0.40060094945432584	-509.15204610034937
26000	-543.6554786491763	-844.9197492030682	-301.2642705538919	0.38329887505052945	-509.6468039351783
27000	-550.5106047033025	-836.7418027444485	-286.23119804114594	0.36652679764266793	-488.00808705137604
28000	-578.5601256753001	-855.1993361201247	-276.6392104448246	0.3502753161557333	-479.29454138084117
