# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:09:40 CEST 2015 [seed=1436620146408]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-26814.311542091298	-27671.648090667397	-857.3365485760987	1.0	-27671.648090667397
2000	-25918.230778413763	-26777.73394990624	-859.503171492476	0.9670538286027488	-25923.827476367107
3000	-25587.180827505803	-26433.95175237285	-846.7709248670485	0.9348750848354606	-24767.588771681803
4000	-25035.42198062361	-25880.39085469202	-844.9688740684091	0.9034534504706005	-23463.307246450328
5000	-24698.084355637402	-25536.912259214605	-838.8279035772038	0.872778642317937	-22394.788435344293
6000	-23586.180163912515	-24423.332352254078	-837.1521883415616	0.8428404124649498	-20716.538006166204
7000	-22757.161657900106	-23593.146852743375	-835.9851948432711	0.8136285485214058	-19351.86160302752
8000	-22235.801140449235	-23072.11991780586	-836.3187773566232	0.785132873868218	-18294.37722951973
9000	-22111.777134600197	-22938.147229717528	-826.3700951173295	0.7573432479107086	-17572.575207313188
10000	-21694.072879728206	-22526.88246275274	-832.8095830245336	0.7302495663364068	-16674.89689551646
11000	-21359.506385725726	-22189.037975922296	-829.5315901965708	0.7038417613775041	-15863.244186879812
12000	-21202.688655535578	-22027.82714669554	-825.138491159965	0.678109802078112	-15202.889498889024
13000	-21002.10914808105	-21825.032042083887	-822.9228940028385	0.6530436945664579	-14538.21784575369
14000	-20921.011782003075	-21754.34989787215	-833.3381158690765	0.6286334823321714	-13984.986606302056
15000	-20786.99034587321	-21619.20754427546	-832.2171984022492	0.6048692465088115	-13405.628386096518
16000	-20648.200163564277	-21477.65979266876	-829.459629104482	0.5817411061617966	-12841.366432506557
17000	-20567.901513409855	-21386.27468656357	-818.373173153715	0.5592392185819061	-12320.750343382646
18000	-20503.04127812604	-21322.01902100036	-818.9777428743214	0.5373537795845235	-11836.364466652847
19000	-20275.368883833657	-21092.08534234615	-816.7164585124922	0.5160750238148092	-11280.327938090986
20000	-19656.47526905857	-20489.17699413633	-832.70172507776	0.49539322505898753	-10570.386401908914
21000	-19581.16107139796	-20406.43859465469	-825.2775232567299	0.4752986965619486	-10132.17785766175
