# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:25:18 CEST 2015 [seed=1436621111838]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-7672.155470968097	-7855.674604565278	-183.51913359718174	1.0	-7855.674604565278
2000	-7662.760770666087	-7837.271218184631	-174.51044751854377	0.9670538286027488	-7584.812588458133
3000	-7653.390047900342	-7827.617297933332	-174.22725003298982	0.9348750848354606	-7329.190920342691
4000	-7654.5026636239745	-7828.275749937674	-173.77308631369937	0.9034534504706005	-7089.259929401182
5000	-7647.810727156373	-7823.060054997064	-175.24932784069142	0.872778642317937	-6850.095190992784
6000	-7642.17961753809	-7820.330707710407	-178.15109017231725	0.8428404124649498	-6619.288911149353
7000	-7638.6029993193415	-7810.835814050373	-172.2328147310315	0.8136285485214058	-6387.218285798484
8000	-7644.709960806921	-7823.614244061504	-178.9042832545831	0.785132873868218	-6181.017384671913
9000	-7645.532382219119	-7824.067813722013	-178.5354315028932	0.7573432479107086	-5968.827757859219
10000	-7628.828570415652	-7801.080437193382	-172.25186677772916	0.7302495663364068	-5743.20062197855
11000	-7630.634234499623	-7800.186350429214	-169.55211592959128	0.7038417613775041	-5540.311155967288
12000	-7603.12725081537	-7773.366222842981	-170.2389720276115	0.678109802078112	-5325.994087252721
13000	-7556.5630172712845	-7728.348775969466	-171.78575869818175	0.6530436945664579	-5106.551589721282
14000	-7555.5769988212305	-7722.690884146703	-167.1138853254723	0.6286334823321714	-4916.802565123319
15000	-7539.780961371337	-7705.712152476927	-165.93119110559053	0.6048692465088115	-4726.512820051753
16000	-7541.827836980858	-7707.00881038388	-165.1809734030218	0.5817411061617966	-4552.572241770096
17000	-7530.910822912618	-7692.509052375471	-161.59822946285271	0.5592392185819061	-4373.178913278524
18000	-7538.141485064513	-7696.779433212931	-158.63794814841708	0.5373537795845235	-4209.286766190726
19000	-7542.0883491499735	-7699.570423997951	-157.4820748479781	0.5160750238148092	-4049.765499248945
20000	-7542.796303816385	-7693.922772586083	-151.12646876969777	0.49539322505898753	-3887.776655680307
21000	-7551.816116281637	-7698.517693259171	-146.70157697753413	0.4752986965619486	-3736.0699337217134
22000	-7443.157117461964	-7596.54153445585	-153.3844169938861	0.4557817913513756	-3545.839901300441
23000	-7445.15670994071	-7611.101256080253	-165.94454613954224	0.436832902568608	-3418.233961821091
24000	-7407.908995420491	-7567.298043251264	-159.38904783077294	0.418442463806474	-3259.172739528665
25000	-7332.588340751411	-7492.787590569332	-160.19924981792076	0.40060094945432584	-3097.6411010806555
26000	-7330.982318519228	-7485.170091473997	-154.18777295476892	0.38329887505052945	-2964.1450486585113
27000	-7335.229190546518	-7489.364347342236	-154.1351567957181	0.36652679764266793	-2842.6932219817527
28000	-7367.697492231848	-7522.968860215961	-155.27136798411368	0.3502753161557333	-2735.993936415428
29000	-7340.494420706516	-7502.682186771187	-162.18776606467023	0.33453507176859365	-2617.840593912686
30000	-7363.284077884327	-7519.216791971037	-155.9327140867099	0.3192967482990375	-2507.0053769572523
31000	-7345.31168048405	-7505.430997259024	-160.11931677497296	0.30455107259771197	-2397.1418676308926
32000	-7396.378482645659	-7552.723920003455	-156.3454373577965	0.2902888149512887	-2303.4313820162156
33000	-7389.529633491463	-7545.040837174774	-155.5112036833114	0.2765007894952082	-2198.721981341937
34000	-7358.402867506885	-7516.215147208721	-157.81227970183605	0.26317785463637045	-2094.3809599224146
35000	-7363.210689917449	-7521.542712623954	-158.33202270650472	0.2503109134861649	-2001.4240166908357
36000	-7396.921476408187	-7544.036484009677	-147.11500760149022	0.23789091430424544	-1906.775420660943
37000	-7353.321323747884	-7500.914958021043	-147.59363427315964	0.22590885095348726	-1808.77400521282
38000	-7373.647187287881	-7516.539232574452	-142.89204528657092	0.21435576336658174	-1723.4758169135132
39000	-7410.3693639315725	-7563.203988865635	-152.8346249340629	0.20322273802475366	-1658.7901768469892
40000	-7396.151950978862	-7541.415105314203	-145.26315433534126	0.19250090844911202	-1569.0291239264443
41000	-7424.995180755335	-7564.9584380969445	-139.9632573416091	0.1821814557051778	-1492.6596879755457
42000	-7376.944782867233	-7519.6748191597835	-142.73003629255118	0.17225560892116176	-1413.4501518431337
43000	-7435.171690989115	-7580.409520066476	-145.23782907736154	0.1627146458206033	-1355.0491573920312
44000	-7399.96485322607	-7549.042289351716	-149.0774361256465	0.15354989327001706	-1285.341249540387
45000	-7447.031539991118	-7582.078062447312	-135.04652245619363	0.14475272784223595	-1213.0246521970753
46000	-7438.021000668419	-7579.697701280924	-141.67670061250448	0.13631457639618247	-1155.5873825445294
47000	-7507.904562468684	-7656.720798549356	-148.81623608067224	0.12822691667385014	-1111.5316888075636
48000	-7560.573386871267	-7709.264369363986	-148.6909824927189	0.12048127791532504	-1059.5985259155661
49000	-7442.842265272335	-7592.746804789318	-149.9045395169836	0.11306924149273806	-991.4610690014188
50000	-7529.9530744924505	-7682.581450384296	-152.6283758918457	0.10598244156409653	-950.6711875896308
51000	-7493.387421122702	-7640.766835374308	-147.37941425160648	0.09921256574801246	-890.8176064450721
52000	-7622.765318923237	-7763.652761933182	-140.88744300994526	0.09275135582041685	-847.9092614409277
53000	-7578.934385176917	-7720.415778678654	-141.48139350173676	0.08659060843442937	-797.7459331988239
54000	-7770.895135105919	-7905.403147423965	-134.5080123180463	0.08072217586463991	-761.7915760397409
55000	-7654.354984796127	-7801.863075592025	-147.50809079589823	0.07513796677715448	-722.6407613440563
56000	-7665.753133124375	-7803.692082356868	-137.93894923249223	0.06982994702686253	-673.238084439573
57000	-7624.318745245519	-7766.976770525618	-142.6580252801	0.06479014048349967	-636.638707875537
58000	-7803.232523455141	-7943.681241825628	-140.44871837048714	0.06001062988820621	-608.725617267167
59000	-7897.9698200808325	-8036.731718522553	-138.76189844172075	0.055483557742424465	-576.9693630021013
60000	-7929.762732356373	-8069.11152380544	-139.34879144906716	0.051201127231133854	-545.3615820211494
61000	-8149.793294654135	-8277.738793975097	-127.94549932096187	0.04715560318259695	-512.2539179438617
62000	-8024.11089353189	-8155.48436542901	-131.3734718971197	0.043339313066983146	-479.13292599608815
63000	-7990.226081084915	-8118.018572680046	-127.79249159513122	0.039744648036453514	-445.3612149195425
64000	-8325.342152646475	-8451.738297033284	-126.39614438680792	0.03636406400953165	-429.13941932689636
65000	-8625.539772844197	-8749.74944907442	-124.20967623022207	0.033190082802857665	-410.49205551026307
66000	-8481.283022588495	-8594.982740279786	-113.69971769129054	0.030215293313728214	-369.9641718955453
67000	-8702.695948815104	-8839.485259608693	-136.7893107935888	0.027432352757170694	-375.5247359998851
68000	-8508.397183924257	-8624.050630799107	-115.65344687485073	0.024833987961691194	-326.95088011371297
69000	-8524.432605664251	-8631.747061739688	-107.31445607543647	0.0224129967282808	-298.3725361766395
70000	-9207.902028900899	-9310.60870940562	-102.70668050472243	0.02016224925777198	-288.35869635256665
71000	-9078.46735212232	-9187.976110260652	-109.50875813833186	0.018074689652218572	-273.5992380457413
