# BEAST v1.8.2, r6692
# Generated Sat Jul 11 15:08:51 CEST 2015 [seed=1436620126341]
state	pathLikelihood.delta	pathLikelihood.source	pathLikelihood.destination	pathLikelihood.theta	pathLikelihood.pathLikelihood
1000	-572.241392467447	-3214.61185032911	-2642.370457861663	1.0	-3214.61185032911
2000	-566.8192107728951	-3197.993211982175	-2631.17400120928	0.9670538286027488	-3179.3186891127966
3000	-559.3783597532356	-3185.512694578374	-2626.1343348251385	0.9348750848354606	-3149.0832263545653
4000	-550.2944914059344	-3177.9618861421604	-2627.667394736226	0.9034534504706005	-3124.832851771882
5000	-557.3683379770987	-3168.434622174058	-2611.0662841969593	0.872778642317937	-3097.5254654876167
6000	-533.8821390277822	-3142.763025492968	-2608.880886465186	0.8428404124649498	-3058.8583287310316
7000	-522.2971149174209	-3141.8710754859726	-2619.5739605685517	0.8136285485214058	-3044.5298040757307
8000	-527.7720225661374	-3143.2469557272816	-2615.4749331611442	0.785132873868218	-3029.8460979857377
9000	-522.4522743084431	-3134.7634503071517	-2612.3111759987087	0.7573432479107086	-3007.9868783018014
10000	-527.1251069564414	-3137.6870717944794	-2610.561964838038	0.7302495663364068	-2995.494845598011
11000	-521.6684572642466	-3127.3903222276904	-2605.7218649634437	0.7038417613775041	-2972.8939107793967
12000	-526.2253604613898	-3131.0373616400884	-2604.8120011786987	0.678109802078112	-2961.650576209655
13000	-514.7833790459795	-3117.840223500909	-2603.0568444549294	0.6530436945664579	-2939.232884208521
14000	-514.4564404238158	-3105.9944701189825	-2591.5380296951666	0.6286334823321714	-2914.9425733470034
15000	-534.1399621177429	-3136.6467113357603	-2602.5067492180174	0.6048692465088115	-2925.591585634422
16000	-526.5169437929194	-3124.1912019661713	-2597.674258173252	0.5817411061617966	-2903.9708074682735
17000	-531.8062139062404	-3125.9616109518734	-2594.155397045633	0.5592392185819061	-2891.5622885475605
18000	-535.1859296756816	-3129.9908959752006	-2594.804966299519	0.5373537795845235	-2882.3891483912034
19000	-539.1651861838591	-3135.430986859583	-2596.2658006757238	0.5160750238148092	-2874.515486975675
20000	-533.9290493283106	-3143.069324273117	-2609.1402749448066	0.49539322505898753	-2873.6451086442376
21000	-556.6766187982066	-3149.1560583603423	-2592.4794395621357	0.4752986965619486	-2857.0671108834363
22000	-553.7573338694597	-3154.930729676784	-2601.173395807324	0.4557817913513756	-2853.5659054123084
23000	-551.6599719628498	-3149.831169038266	-2598.1711970754163	0.436832902568608	-2839.154423858865
24000	-549.7824633961318	-3161.0360470292417	-2611.25358363311	0.418442463806474	-2841.30591217418
25000	-545.1965160084033	-3151.996114166065	-2606.799598157662	0.40060094945432584	-2825.2058401098184
