,file_name,ps,ss,mean_rate,lowerHPD,higherHPD,genus,best_ML
1,e_faecium_clade2_rs_ucld_bs,-7599.170868735069,-7601.203636779642,0.016811045546373696,0.00020480660631160458,0.04751148184449186,e_faecium,BEST
3,st239_complete_sc_strict_constant,-19394.906959070453,-19352.165958593258,0.3341265886287981,0.0009031472174941282,0.9500754239096989,st239_complete,BEST
5,st93_dated_rs_ucld_bs,-573.8736768340004,-574.3408062224671,0.019175466509491142,0.0029397957311042763,0.047733904656719194,st93_dated,BEST
