"V1","V2"
1,264.480967222804
2,236.983111781661
3,239.866600765269
4,184.120432450033
5,179.899009195506
6,192.530319831585
7,189.467341390696
8,175.042947750598
9,153.076884471209
10,205.210738816119
11,147.821917082988
12,171.253894782606
13,224.843739457028
14,198.560313685119
15,156.029620041107
16,189.425270096212
17,198.647736459233
18,183.744284078424
19,190.056060554153
20,195.337597402372
21,188.742410965701
22,173.651748264285
23,230.399220441109
24,195.501833251453
25,213.567672702419
26,128.384850266063
27,128.305520162675
28,143.565594104107
29,152.093242584447
30,162.064025111496
31,182.59438303292
32,139.869405803679
33,159.063075098917
34,121.684438538368
35,181.418746051862
36,178.43085258801
37,155.858070612424
38,211.956215704486
39,201.42682603671
40,189.06746455402
41,160.802114245418
42,184.662091929385
43,155.508772924294
44,167.026574996615
45,192.085562156688
46,157.200358172161
47,148.084904914869
48,153.170234452731
49,174.256150209906
50,164.263593260448
51,206.853426958031
52,177.688686934853
53,201.546866753642
54,234.570064527654
55,205.028024219779
56,164.025159919583
57,122.792891439541
58,144.077236846639
59,151.778799970781
60,139.893039782047
61,148.731901391205
62,207.816196650406
63,212.003229824477
64,187.52475677362
65,167.099760059979
66,235.665551384727
67,225.91945669041
68,220.457788859225
69,222.469454824413
70,248.641003098233
71,242.698539670321
72,289.821287692291
73,254.506539860759
74,272.162099347405
75,242.83772996105
76,266.127574856768
77,268.353301585523
78,251.9628196904
79,276.543163464423
80,254.563698244169
81,216.127776421592
82,203.868644947023
83,232.172804807895
84,255.897309640433
85,222.311927641261
86,240.875147218847
87,216.938761923395
88,246.610963266844
89,212.971884949916
90,165.717604577198
91,171.320190315884
92,247.204905418868
93,208.153341154207
94,194.090228179529
95,202.657060154977
96,179.838604898539
97,215.496151739341
98,223.367668005913
99,210.699856696098
100,205.237562452913
101,188.979920222267
102,236.751103136171
103,242.672583149226
104,189.535965533675
105,197.603374114526
106,173.04903343381
107,136.403182711877
108,195.433704214672
109,210.929703355855
110,214.068956879719
111,177.935979792023
112,185.102493562858
113,162.371173850191
114,193.527419698385
115,184.718269937139
116,169.919273200101
117,146.640970429066
118,154.430054796055
119,140.116990454384
120,110.121489267747
121,89.3132976103855
122,115.527221653506
123,159.947516024083
124,181.045262937324
125,179.82850713738
126,84.7016436111951
127,131.567325094749
128,124.082789020594
129,131.737146520421
130,95.5078898687115
131,81.6195871663668
132,83.9159525925489
133,120.354362525662
134,113.061969297625
135,119.428504453346
136,108.288896290151
137,119.927592620464
138,126.815493459108
139,108.982270625873
140,109.661288423587
141,101.480447780132
142,106.773033683137
143,105.247591072518
144,122.1211506613
145,92.002431386368
146,102.77016437842
147,98.8465799917153
148,143.049558882848
149,153.421269452519
150,177.980578414915
151,152.489992136881
152,156.181315221834
153,175.807141417786
154,183.578083383404
155,119.228971388349
156,135.213169962471
157,153.06366681466
158,203.292312358264
159,212.299122235859
160,280.483401718634
161,215.349347485995
162,206.612617172088
163,223.701185848286
164,214.213234501464
165,184.596960892708
166,213.167419170591
167,179.000555225904
168,204.128843749151
169,161.778980741297
170,186.306598478735
171,130.783260957879
172,109.742393811911
173,158.232687541628
174,161.059301809313
175,176.404795734951
176,224.131072316959
177,277.274713302482
178,269.679244440935
179,250.072272638167
180,294.854539724687
181,263.434496425027
182,269.995345641719
183,279.376533027224
184,242.022211686182
185,260.44450279167
186,254.909651432572
187,194.468501992073
188,254.751825181278
189,221.677459958656
190,309.679459760877
191,302.802253689811
192,310.894561719757
193,275.703320224801
194,274.037629120411
195,233.117997479572
196,262.634054386149
197,200.315425211302
198,186.296948656738
199,149.886359836587
200,195.522552198641
201,200
202,188.910178973255
203,207.063693240094
204,196.431431169383
205,172.375594133691
206,196.937627125022
207,214.392111642892
208,202.850182512279
209,210.265548223743
210,230.538697890965
211,198.003946489085
212,233.270547135694
213,202.546733483184
214,159.108368968161
215,163.295602057931
216,200.430531570027
217,210.4745561817
218,184.902711077184
219,180.370267674934
220,163.02655199883
221,206.168271793382
222,221.589373680958
223,170.330530642507
224,197.359152251677
225,179.51553542539
226,196.56691578024
227,183.806802404365
228,193.092063579003
229,216.274839758275
230,164.479119539938
